epoch_year,Payload,Payload Mission Related Object,Payload Fragmentation Debris,Payload Debris,Rocket Body,Rocket Mission Related Object,Rocket Fragmentation Debris,Rocket Debris,Unknown
1960,29,8,0,0,16,12,0,0,0
1962,92,41,23,0,45,45,142,0,0
1964,130,150,98,11,68,85,11,0,0
1966,206,54,322,27,143,199,685,0,0
1968,211,44,240,1,168,171,15,21,0
1970,189,60,140,0,157,54,502,3,0
1972,177,185,168,2,171,124,0,1,0
1974,155,199,216,16,195,145,70,1,0
1976,209,217,643,5,219,191,449,0,0
1978,207,248,134,0,195,119,174,1,0
1980,222,183,113,3,192,86,8,0,0
1982,247,389,268,1,202,122,149,0,0
1984,255,279,90,5,209,158,5,16,0
1986,197,606,630,8,173,138,491,1,0
1988,190,276,363,2,175,152,34,3,0
1990,219,165,39,0,184,136,40,0,0
1992,103,81,20,3,131,108,268,3,0
1994,81,55,162,0,121,108,83,1,0
1996,91,45,6,2,95,62,746,1,0
1998,121,23,24,1,126,93,91,2,0
2000,53,17,18,1,117,59,341,2,0
2002,62,25,24,2,78,37,428,5,0
2004,38,16,112,3,72,66,5,4,0
2006,55,23,132,18,63,43,333,15,0
2008,57,33,1975,5,81,43,43,16,0
2010,64,20,1627,11,61,48,141,1,0
2012,81,13,11,7,79,64,119,1,0
2014,171,31,25,5,79,31,60,1,0
2016,212,16,257,5,90,39,12,4,0
2018,516,36,13,7,137,65,13,2,0
2020,1036,23,296,10,156,105,286,13,0
2022,1284,44,1899,19,239,251,221,1,0
2024,734,29,33,3,384,138,127,31,0
2026,44,2,4,3,248,8,3,1,0
